GERM:4	Leaflet Area (cm^2)	Condition #2	0.078
GERM:5	Leaflet Area (cm^2)	Condition #2	0.095
GERM:6	Leaflet Area (cm^2)	Condition #2	0.247
GERM:7	Leaflet Area (cm^2)	Condition #2	0.066
GERM:8	Leaflet Area (cm^2)	Condition #2	0.078
GERM:9	Leaflet Area (cm^2)	Condition #2	0.094
GERM:10	Leaflet Area (cm^2)	Condition #2	0.079
GERM:11	Leaflet Area (cm^2)	Condition #2	0.061
GERM:12	Leaflet Area (cm^2)	Condition #2	0.052
GERM:13	Leaflet Area (cm^2)	Condition #2	0.134
GERM:14	Leaflet Area (cm^2)	Condition #2	0.168
GERM:15	Leaflet Area (cm^2)	Condition #2	0.105
GERM:16	Leaflet Area (cm^2)	Condition #2	0.143
GERM:17	Leaflet Area (cm^2)	Condition #2	0.126
GERM:18	Leaflet Area (cm^2)	Condition #2	0.079
GERM:19	Leaflet Area (cm^2)	Condition #2	0.094
GERM:20	Leaflet Area (cm^2)	Condition #2	0.079
GERM:1	Shoot Length (cm)	Condition #3	33.4
GERM:2	Shoot Length (cm)	Condition #3	35.1
GERM:3	Shoot Length (cm)	Condition #3	30.9
GERM:4	Shoot Length (cm)	Condition #3	27.8
GERM:5	Shoot Length (cm)	Condition #3	21.1
GERM:6	Shoot Length (cm)	Condition #3	27.5
GERM:7	Shoot Length (cm)	Condition #3	20.3
GERM:8	Shoot Length (cm)	Condition #3	24.3
GERM:9	Shoot Length (cm)	Condition #3	26.6
GERM:10	Shoot Length (cm)	Condition #3	21.4
GERM:11	Shoot Length (cm)	Condition #3	24.9
GERM:12	Shoot Length (cm)	Condition #3	24.1
GERM:13	Shoot Length (cm)	Condition #3	30.5
GERM:14	Shoot Length (cm)	Condition #3	31.4
GERM:15	Shoot Length (cm)	Condition #3	33.3
GERM:16	Shoot Length (cm)	Condition #3	28.2
GERM:17	Shoot Length (cm)	Condition #3	32.4
GERM:18	Shoot Length (cm)	Condition #3	27.5
GERM:19	Shoot Length (cm)	Condition #3	26.6
GERM:20	Shoot Length (cm)	Condition #3	21.4
GERM:1	Internode Length (cm)	Condition #3	1.89
GERM:2	Internode Length (cm)	Condition #3	2.02
GERM:3	Internode Length (cm)	Condition #3	1.64
GERM:4	Internode Length (cm)	Condition #3	1.89
GERM:5	Internode Length (cm)	Condition #3	1.48
GERM:6	Internode Length (cm)	Condition #3	1.79
GERM:7	Internode Length (cm)	Condition #3	1.25
GERM:8	Internode Length (cm)	Condition #3	1.65
GERM:9	Internode Length (cm)	Condition #3	1.6
GERM:10	Internode Length (cm)	Condition #3	1.43
GERM:11	Internode Length (cm)	Condition #3	1.87
GERM:12	Internode Length (cm)	Condition #3	1.69
GERM:13	Internode Length (cm)	Condition #3	1.54
GERM:14	Internode Length (cm)	Condition #3	1.78
GERM:15	Internode Length (cm)	Condition #3	1.69
GERM:16	Internode Length (cm)	Condition #3	2
GERM:17	Internode Length (cm)	Condition #3	1.98
GERM:18	Internode Length (cm)	Condition #3	2.06
GERM:19	Internode Length (cm)	Condition #3	1.6
GERM:20	Internode Length (cm)	Condition #3	1.43
GERM:1	Leaflet Area (cm^2)	Condition #3	0.192
GERM:2	Leaflet Area (cm^2)	Condition #3	0.226
GERM:3	Leaflet Area (cm^2)	Condition #3	0.21
GERM:4	Leaflet Area (cm^2)	Condition #3	0.154
GERM:5	Leaflet Area (cm^2)	Condition #3	0.175
GERM:6	Leaflet Area (cm^2)	Condition #3	0.304
GERM:7	Leaflet Area (cm^2)	Condition #3	0.085
GERM:8	Leaflet Area (cm^2)	Condition #3	0.105
GERM:9	Leaflet Area (cm^2)	Condition #3	0.162
GERM:10	Leaflet Area (cm^2)	Condition #3	0.111
GERM:11	Leaflet Area (cm^2)	Condition #3	0.1
GERM:12	Leaflet Area (cm^2)	Condition #3	0.153
GERM:13	Leaflet Area (cm^2)	Condition #3	0.166
GERM:14	Leaflet Area (cm^2)	Condition #3	0.112
GERM:15	Leaflet Area (cm^2)	Condition #3	0.1
GERM:16	Leaflet Area (cm^2)	Condition #3	0.128
GERM:17	Leaflet Area (cm^2)	Condition #3	0.137
GERM:18	Leaflet Area (cm^2)	Condition #3	0.117
GERM:19	Leaflet Area (cm^2)	Condition #3	0.162
GERM:20	Leaflet Area (cm^2)	Condition #3	0.111
